timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:38:45.926051+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,29,71,97,26,16.0,50,397,397,50,True,
2026-02-07T01:38:46.440259+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,7,32,68,93,25,19.5,33996,5,5,33996,True,
2026-02-07T01:38:46.987308+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,4,28,72,96,24,16.0,996,996,996,996,True,
2026-02-07T01:38:48.414621+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,27,73,97,24,15.0,50,15996,15996,50,True,
2026-02-07T01:38:48.770621+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,40,60,40,60,20,50.0,996,996,996,996,True,
2026-02-07T01:38:49.237630+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,25,44,56,75,19,34.5,996,314,314,996,True,
2026-02-07T01:38:49.654171+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,15,36,64,85,21,25.5,996,995,995,996,True,
2026-02-07T01:40:10.275491+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,20,80,98,18,11.0,96,1073,1073,96,True,
2026-02-07T01:40:10.734673+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,12,42,58,88,30,27.0,1059,1079,1079,1059,True,
2026-02-07T01:40:11.204289+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,14,33,67,86,19,23.5,69,1073,1073,69,True,
2026-02-07T01:40:11.888182+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,29,71,97,26,16.0,50,377,377,50,True,
2026-02-07T01:40:12.581904+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,9,32,68,91,23,20.5,1073,5,5,1073,True,
2026-02-07T01:40:13.207440+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,4,36,64,96,32,20.0,19073,16059,16059,19073,True,
2026-02-07T01:40:13.938476+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,21,79,97,18,12.0,50,1073,1073,50,True,
2026-02-07T01:40:14.549272+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,36,56,44,64,20,46.0,1072,13,13,1072,True,
2026-02-07T01:40:15.083474+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,25,44,56,75,19,34.5,1073,7,7,1073,True,
2026-02-07T01:40:15.612436+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,15,41,59,85,26,28.0,1073,2,2,1073,True,
2026-02-07T01:41:31.315209+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,7,93,98,5,4.5,85,85,85,85,True,
2026-02-07T01:41:33.085552+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,13,22,78,87,9,17.5,929,91,91,929,True,
2026-02-07T01:41:33.659057+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,12,15,85,88,3,13.5,285,93,93,285,True,
2026-02-07T01:41:34.211222+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,10,90,97,7,6.5,50,70,70,50,True,
2026-02-07T01:41:34.667616+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,17,26,74,83,9,21.5,85,85,85,85,True,
2026-02-07T01:41:35.117775+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,4,33,67,96,29,18.5,19000,407,407,19000,True,
2026-02-07T01:41:35.696574+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,53,47,97,50,28.0,50,50,50,50,True,
2026-02-07T01:41:36.162079+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,44,61,39,56,17,52.5,3,350,350,3,True,
2026-02-07T01:41:36.580238+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,31,44,56,69,13,37.5,1070,7,7,1070,True,
2026-02-07T01:41:36.964104+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,19,41,59,81,22,30.0,1114,2,2,1114,True,
2026-02-07T01:42:56.674982+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,7,93,98,5,4.5,106,106,106,106,True,
2026-02-07T01:42:57.281237+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,10,43,57,90,33,26.5,16173,16125,16125,16173,True,
2026-02-07T01:42:57.791583+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,14,30,70,86,16,22.0,56,94,94,56,True,
2026-02-07T01:42:58.228772+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,10,90,97,7,6.5,156,106,106,156,True,
2026-02-07T01:42:58.771901+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,8,32,68,92,24,20.0,18000,5,5,18000,True,
2026-02-07T01:42:59.428109+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,4,35,65,96,31,19.5,1244,16251,16251,1244,True,
2026-02-07T01:43:00.053766+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,53,47,97,50,28.0,50,50,50,50,True,
2026-02-07T01:43:00.437167+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,36,60,40,64,24,48.0,3,106,106,3,True,
2026-02-07T01:43:00.833138+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,10,62,38,90,52,36.0,18000,1261,1261,18000,True,
2026-02-07T01:43:01.258344+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,12,41,59,88,29,26.5,1173,2,2,1173,True,
2026-02-07T01:44:17.855742+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,7,93,98,5,4.5,106,106,106,106,True,
2026-02-07T01:44:18.643763+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,9,25,75,91,16,17.0,1000,6,6,1000,True,
2026-02-07T01:44:19.273452+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,13,34,66,87,21,23.5,95,69,69,95,True,
2026-02-07T01:44:19.741515+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,10,90,97,7,6.5,145,106,106,145,True,
2026-02-07T01:44:20.243000+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,5,32,68,95,27,18.5,1000,5,5,1000,True,
2026-02-07T01:44:20.826616+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,3,31,69,97,28,17.0,50,1000,1000,50,True,
2026-02-07T01:44:21.256782+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,24,76,97,21,13.5,50,1046,1046,50,True,
2026-02-07T01:44:21.696588+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,41,60,40,59,19,50.5,3,1054,1054,3,True,
2026-02-07T01:44:22.116426+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,22,58,42,78,36,40.0,16050,7,7,16050,True,
2026-02-07T01:44:22.617840+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,11,41,59,89,30,26.0,1000,2,2,1000,True,
2026-02-07T01:45:39.872734+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,7,93,98,5,4.5,106,106,106,106,True,
