timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:38:32.248765+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,250,370,370,250,True,
2026-02-07T01:38:32.687386+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:38:33.163281+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1686,1300,1300,1686,True,
2026-02-07T01:38:33.578956+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,335,200,200,335,True,
2026-02-07T01:38:34.114672+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,15,21,79,85,6,18.0,622,1300,1300,622,True,
2026-02-07T01:39:50.902638+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,185,1300,1300,185,True,
2026-02-07T01:39:51.389857+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:39:52.279729+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:39:52.842397+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,47,53,58,5,44.5,677,21267,21267,677,True,
2026-02-07T01:39:53.481009+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,274,139,139,274,True,
2026-02-07T01:39:54.032394+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,29,71,75,4,27.0,200,370,370,200,True,
2026-02-07T01:39:54.502080+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:39:54.914390+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1686,1300,1300,1686,True,
2026-02-07T01:39:55.334325+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,335,200,200,335,True,
