t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_price_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T05:02:00.634141+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205879
2026-02-04T05:02:05.872761+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,55,56,44,45,,,0,0,0,0,0,0,0,0,1205874
2026-02-04T05:02:11.104780+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,55,56,44,45,,,0,0,0,0,0,0,0,0,1205869
2026-02-04T05:02:16.391220+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1205863
2026-02-04T05:02:21.631197+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,57,59,41,43,,,0,0,0,0,0,0,0,0,1205858
2026-02-04T05:02:26.881488+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205853
2026-02-04T05:02:32.097746+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,63,64,36,37,,,0,0,0,0,0,0,0,0,1205848
2026-02-04T05:02:37.326017+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,,,0,0,0,0,0,0,0,0,1205842
2026-02-04T05:02:42.934425+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,,,0,0,0,0,0,0,0,0,1205837
2026-02-04T05:02:48.448170+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,,,0,0,0,0,0,0,0,0,1205832
2026-02-04T05:02:53.636780+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,62,38,40,,,0,0,0,0,0,0,0,0,1205826
2026-02-04T05:02:58.857740+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,61,39,41,,,0,0,0,0,0,0,0,0,1205821
2026-02-04T05:03:04.122543+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,61,39,40,,,0,0,0,0,0,0,0,0,1205816
2026-02-04T05:03:09.362510+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,62,38,41,,,0,0,0,0,0,0,0,0,1205810
2026-02-04T05:03:14.646927+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,61,39,41,,,0,0,0,0,0,0,0,0,1205805
2026-02-04T05:03:20.397238+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,61,39,40,,,0,0,0,0,0,0,0,0,1205800
2026-02-04T05:03:25.592343+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205794
2026-02-04T05:03:30.841739+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205789
2026-02-04T05:03:36.063317+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205784
2026-02-04T05:03:41.321392+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,59,41,42,,,0,0,0,0,0,0,0,0,1205778
2026-02-04T05:03:46.670392+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,59,41,42,,,0,0,0,0,0,0,0,0,1205773
2026-02-04T05:03:51.935167+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205768
2026-02-04T05:03:57.158137+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,61,39,40,,,0,0,0,0,0,0,0,0,1205763
2026-02-04T05:04:02.425784+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,61,39,40,,,0,0,0,0,0,0,0,0,1205757
2026-02-04T05:04:07.640551+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,61,39,40,,,0,0,0,0,0,0,0,0,1205752
2026-02-04T05:04:12.887065+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,61,39,40,,,0,0,0,0,0,0,0,0,1205747
2026-02-04T05:04:18.247575+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,62,38,40,,,0,0,0,0,0,0,0,0,1205742
2026-02-04T05:04:23.488350+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,60,62,38,40,,,0,0,0,0,0,0,0,0,1205736
2026-02-04T05:04:28.706375+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,62,63,37,38,,,0,0,0,0,0,0,0,0,1205731
2026-02-04T05:04:33.975054+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,,,0,0,0,0,0,0,0,0,1205726
2026-02-04T05:04:39.166501+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,,,0,0,0,0,0,0,0,0,1205721
2026-02-04T05:04:44.406133+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,,,0,0,0,0,0,0,0,0,1205715
2026-02-04T05:04:49.610564+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,57,60,40,43,,,0,0,0,0,0,0,0,0,1205710
2026-02-04T05:04:55.170537+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205705
2026-02-04T05:05:00.874626+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205699
2026-02-04T05:05:06.099865+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205694
2026-02-04T05:05:11.324860+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205688
2026-02-04T05:05:16.595846+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205683
2026-02-04T05:05:21.848014+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205678
2026-02-04T05:05:27.080499+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205673
2026-02-04T05:05:32.353371+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,59,60,40,41,,,0,0,0,0,0,0,0,0,1205667
2026-02-04T05:05:37.577662+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,58,60,40,42,,,0,0,0,0,0,0,0,0,1205662
